"","ticker","year","ret"
"1","IBOV","2008",-0.402209149292535
"2","IBOV","2009",0.704304618153862
"3","IBOV","2010",-0.0105684796134148
"4","IBOV","2011",-0.188790766229593
"5","IBOV","2012",0.0540005087389137
"6","IBOV","2013",-0.176545521110278
"7","IBOV","2014",-0.00663153974126585
"8","IBOV","2015",-0.106411539195691
"9","IBOV","2016",0.408110241228029
"10","MLCX","2008",-0.293434463142925
"11","MLCX","2009",0.576013929727155
"12","MLCX","2010",-0.0023628623225308
"13","MLCX","2011",-0.111750895585824
"14","MLCX","2012",0.110662960954447
"15","MLCX","2013",-0.0401845779722336
"16","MLCX","2014",-0.000336526832756645
"17","MLCX","2015",-0.0907850420732302
"18","MLCX","2016",0.39408093959567
"19","NTN-B Principal 150824","2008",0.0613374435142047
"20","NTN-B Principal 150824","2009",0.265762868404994
"21","NTN-B Principal 150824","2010",0.205600781504396
"22","NTN-B Principal 150824","2011",0.164420397848766
"23","NTN-B Principal 150824","2012",0.359322850997552
"24","NTN-B Principal 150824","2013",-0.17112951335449
"25","NTN-B Principal 150824","2014",0.165781153767194
"26","NTN-B Principal 150824","2015",0.0641505180927424
"27","NTN-B Principal 150824","2016",0.255742371086251
"28","SMLL","2008",-0.433303111335545
"29","SMLL","2009",1.2844454832301
"30","SMLL","2010",0.217397187291224
"31","SMLL","2011",-0.172718500137855
"32","SMLL","2012",0.267036456581139
"33","SMLL","2013",-0.164700553148865
"34","SMLL","2014",-0.151555111659046
"35","SMLL","2015",-0.205253742585444
"36","SMLL","2016",0.422739988221437
"37","CDI","2008",0.122810236220472
"38","CDI","2009",0.0997196
"39","CDI","2010",0.0979521912350598
"40","CDI","2011",0.116451792828685
"41","CDI","2012",0.084392828685259
"42","CDI","2013",0.0803596837944664
"43","CDI","2014",0.107696442687747
"44","CDI","2015",0.1335508
"45","CDI","2016",0.141306842105263
